ID,filename,desc::ENG,desc::gls,desc::FAS,desc::ortho,video_url,audio_url,image_url,surprisal,word order,focus,desc::Q-word,intonation,function
20,10_07_08,Shall we go after the Rolls Royce?, SBJV-go-1pl pursuit-EZ Rolls-Royce, be-ri-m donbAl-e rolzroyz,بریم دنبالِ رولزرویس؟,https://youtu.be/ReKdoQIYKOc?t=585,/kourosh/10_07_08.wav,/kourosh/10_07_08.png,not-surprised,non-canonical,not-focused,be-ri-m,rising,Genuine
21,10_07_10,Do they give us a ride?, IPFV-deliver-3pl, mi-resu-nan,می‌رسونن؟,https://youtu.be/X7vwbmpe71U?t=600,/kourosh/10_07_10.wav,/kourosh/10_07_10.png,not-surprised,canonical,not-focused,mi-resu-nan,rising,Confirmation
22,11_29_02,Do you have cars?, have-2pl car you-pl, dAr-id mAshin shomA-hA,دارید ماشین شماها؟,https://youtu.be/ReKdoQIYKOc?t=601,/kourosh/11_29_02.wav,/kourosh/11_29_02.png,not-surprised,non-canonical,focused,dAr-id,rising,Genuine
23,11_29_04,Do you see my beauties?, from beauty-pl-EZ I  see-PRF SBJV-become-3sg, az zibAyi-hA-ye man did-e mi-sh-e,از زیبایی‌های من دیده می‌شه؟,https://youtu.be/ReKdoQIYKOc?t=604,/kourosh/11_29_04.wav,/kourosh/11_29_04.png,not-surprised,canonical,not-focused,did-e,level,Rhetorical
24,13_59_04,Can I ask your daughter's name forgive my boldness? [drop 'forgive my boldness' and suppose a context in which the questions is asked by a police officer or is asked by a person in the same social status Apparently the intonation should be different], name-EZ daughter-3pl-OBJ IPFV-able-1sg SBJV-ask-1sg courage, esm-e doxtar-etun-o mi-tun-am be-pors-am jesAratan,اسم دخترتون رو می‌تونم بپرسم جسارتا؟,https://youtu.be/ReKdoQIYKOc?t=742,/kourosh/13_59_04.wav,/kourosh/13_59_04.png,not-surprised,canonical,not-focused,mi-tun-am,rising,Request
25,13_59_10,09126969?, zero nine hundred-and twelve sixty-and-nine sixty-and-nine, sefr nosad-o davAzdah shast-o-noh shast-o-noh,صفر نهصد و دوازده شصت و نه شصت و نه؟,https://youtu.be/ReKdoQIYKOc?t=781,/kourosh/13_59_10.wav,/kourosh/13_59_10.png,not-surprised,canonical,not-focused,shast-o-noh,rising,Confirmation
26,14_21_08,Would like to go there and show your home to me?, IPFV-want-2pl next-3sg-also SBJV-go-1pl there house-2pl-OBJ sign SBJV-give-2pl to I, mi-xAy-d bad-esh-am be-r-im unjA xuna-tun-o neshun be-d-id be man,می‌خواید بعدش هم بریم اونجا خونه‌تون رو نشون بدید به من؟,https://youtu.be/X7vwbmpe71U?t=801,/kourosh/14_21_08.wav,/kourosh/14_21_08.png,not-surprised,non-canonical,not-focused,be-d-id,rising,Request
27,14_21_10,Do you live alone?, alone life IPFV-do-2sg, tanhA zendegi mi-kon-i,تنها زندگی می‌کنی؟,https://youtu.be/X7vwbmpe71U?t=804,/kourosh/14_21_10.wav,/kourosh/14_21_10.png,not-surprised,canonical,focused,tanhA,rising,Genuine
28,14_21_12,With your cat?, with cat-2pl, bA gorba-tun,با گربه‌تون؟,https://youtu.be/X7vwbmpe71U?t=808,/kourosh/14_21_12.wav,/kourosh/14_21_12.png,not-surprised,canonical,not-focused,gorba-tun,rising,Confirmation
29,14_21_14,so you are alone?, well so alone-be.3sg else, xob pas tanhA-yid dige,خب پس تنهایید دیگه؟,https://youtu.be/X7vwbmpe71U?t=811,/kourosh/14_21_14.wav,/kourosh/14_21_14.png,not-surprised,non-canonical,focused,tanhA-yid,level,Confirmation
30,15_21_04,The news agency?, hamin xabargozAri, this news_agency,این خبرگزاری؟,https://youtu.be/X7vwbmpe71U?t=882,/kourosh/15_21_04.wav,/kourosh/15_21_04.png,not-surprised,canonical,not-focused,hamin,rising,Confirmation
31,16_05_04,Was this your daughter who flied?, this daugther-3pl be.3sg now flight do.3sg, in doxtar-etun bud alAn parvAz kard,این دخترتون بود الان پرواز کرد؟,https://youtu.be/ReKdoQIYKOc?t=872,/kourosh/16_05_04.wav,/kourosh/16_05_04.png,surprised,canonical,focused,doxtar-etun,rising,Confirmation
32,16_20_02,McLaren?, McLaren, maklAren,مکلارن؟,https://youtu.be/X7vwbmpe71U?t=898,/kourosh/16_20_02.wav,/kourosh/16_20_02.png,surprised,canonical,focused,maklAren,rising,Confirmation
33,16_20_04,Maternal aunt did you fall on the ground?, maternal aunt eat-2sg ground, xAle xord-i zamin,خاله خوردی زمین؟,https://youtu.be/X7vwbmpe71U?t=915,/kourosh/16_20_04.wav,/kourosh/16_20_04.png,not-surprised,non-canonical,not-focused,zamin,rising,Rhetorical
34,16_20_06,Do you have driver's license?, driver's license have-2sg you, govAhinAme dAr-i shomA,گواهینامه دارید شما؟,https://youtu.be/X7vwbmpe71U?t=916,/kourosh/16_20_06.wav,/kourosh/16_20_06.png,surprised,non-canonical,focused,dAr-i,rising,Confirmation
35,16_20_08,Maternal aunt... do you have a swimming pool?, maternal aunt swimming pool have-2pl, xAle estaxr dAr-id,خاله استخر دارید؟,https://youtu.be/X7vwbmpe71U?t=922,/kourosh/16_20_08.wav,/kourosh/16_20_08.png,not-surprised,canonical,not-focused,estaxr,rising,Genuine
36,16_20_10,From that side?, from that side, az un var,از اون ور؟,https://youtu.be/X7vwbmpe71U?t=925,/kourosh/16_20_10.wav,/kourosh/16_20_10.png,not-surprised,canonical,not-focused,var,level,Confirmation
37,16_20_14,From this side?, from this side-be.3sg, az in var-e,از این وره؟,https://youtu.be/X7vwbmpe71U?t=928,/kourosh/16_20_14.wav,/kourosh/16_20_14.png,not-surprised,canonical,not-focused,in,rising,Echo
38,17_00_08,Is it possible to go to the top of Niavaran?, IPFV-become-3sg SBJV-go-1pl top-EZ Niavaran, mi-sh-e be-r-im nok-e NiyAvarAN,می‌شه بریم نوک نیاوران؟,https://youtu.be/ReKdoQIYKOc?t=940,/kourosh/17_00_08.wav,/kourosh/17_00_08.png,not-surprised,non-canonical,not-focused,mi-sh-e,rising,Request
39,17_30_04,Is this one?, this-be.3sg, in-e,اینه؟,https://youtu.be/X7vwbmpe71U?t=955,/kourosh/17_30_04.wav,/kourosh/17_30_04.png,not-surprised,canonical,not-focused,in-e,rising,Confirmation
40,17_30_10,Do you want us to go to bed?, exclamation IPFV-want-1pl SBJV-sleep-1pl, e mi-xA-ym be-xAb-im,اِ می‌خوایم بخوابیم؟,https://youtu.be/X7vwbmpe71U?t=1016,/kourosh/17_30_10.wav,/kourosh/17_30_10.png,surprised,canonical,focused,be-xAb-im,rising,Request
41,17_55_02,I see here? Exactly in this place?, exclamation here exactly in this, e injA daqiqan tu hamin,اِ اینجا دقیقاً تو همین؟,https://youtu.be/ReKdoQIYKOc?t=991,/kourosh/17_55_02.wav,/kourosh/17_55_02.png,surprised,non-canonical,focused,hamin,rising,Confirmation
42,17_55_04,Well seven million loan?, well loan seven million, Axe vAm haft milyun,آخه وام هفت میلیون؟,https://youtu.be/ReKdoQIYKOc?t=1018,/kourosh/17_55_04.wav,/kourosh/17_55_04.png,surprised,non-canonical,focused,haft,rising,Echo
43,19_54_02,Is she Miss. Negin?, Negin lady-be.3pl, Negin xAnum-an,نگین خانومن؟,https://youtu.be/ReKdoQIYKOc?t=1090,/kourosh/19_54_02.wav,/kourosh/19_54_02.png,not-surprised,canonical,not-focused,xAnum-an,rising,Confirmation
44,19_54_04,Mr. Kurosh do you get off the car?, Mr.-EZ Kurosh get-off IPFV-become-2pl, AqA-ye Kurosh piyAde mi-sh-id,آقای کوروش پیاده می‌شید؟,https://youtu.be/ReKdoQIYKOc?t=1095,/kourosh/19_54_04.wav,/kourosh/19_54_04.png,not-surprised,canonical,not-focused,piyAde,level,Request
45,19_54_06,Should I come?, SBJV-come-1sg, bi-yA-m,بیام؟,https://youtu.be/ReKdoQIYKOc?t=1106,/kourosh/19_54_06.wav,/kourosh/19_54_06.png,not-surprised,canonical,not-focused,bi-yA-m,rising,Confirmation
46,19_54_10,Miss. Negin do you like music?, Negin lady you to music interest have.2pl, Negin xAnom shomA be musiqi alAqe dAr-in,نگین خانم شما به موسیقی علاقه دارین؟,https://youtu.be/ReKdoQIYKOc?t=1110,/kourosh/19_54_10.wav,/kourosh/19_54_10.png,not-surprised,canonical,not-focused,alAqe,rising,Genuine
47,19_54_14,Does she play musical instrument?, instrument IPFV-hit-3pl she, sAz mi-zan-an ishun,ساز می‌زنن ایشون؟,https://youtu.be/ReKdoQIYKOc?t=1135,/kourosh/19_54_14.wav,/kourosh/19_54_14.png,not-surprised,non-canonical,not-focused,mi-zan-an,rising,Genuine
48,20_57_02,Aha [surprise] is that you Miss. Negin?, exclmation you-be.3pl Negin miss, e shomA-yid negin xAnom,اِ شمایید نگین خانم؟,https://youtu.be/ReKdoQIYKOc?t=1158,/kourosh/20_57_02.wav,/kourosh/20_57_02.png,surprised,non-canonical,not-focused,negin,rising,Rhetorical
49,20_57_04,Are you good?, good-be.2pl, xub-in,خوبین؟,https://youtu.be/ReKdoQIYKOc?t=1162,/kourosh/20_57_04.wav,/kourosh/20_57_04.png,not-surprised,canonical,not-focused,xub-in,level,Genuine
50,36_59_04,Cockroach?, cockroach, susk,سوسک؟,https://youtu.be/ReKdoQIYKOc?t=2111,/kourosh/36_59_04.wav,/kourosh/36_59_04.png,surprised,canonical,not-focused,susk,rising,Echo
51,36_59_06,Cockroach?, cockroach, susk,سوسک؟,https://youtu.be/ReKdoQIYKOc?t=2113,/kourosh/36_59_06.wav,/kourosh/36_59_06.png,surprised,canonical,not-focused,susk,rising,Echo
52,36_59_08,Is here your favorite resturant now?, here restaurant-EZ item-EZ interest-2pl-be.3sg now, injA resturAn-e mored-e alAqa-tun-e alAn,اینجا رستورانِ مورد علاقه‌تونه الان؟,https://youtu.be/ReKdoQIYKOc?t=2116,/kourosh/36_59_08.wav,/kourosh/36_59_08.png,surprised,non-canonical,not-focused,alAqa-tun-e,rising,Rhetorical
53,36_59_10,Is here your favorite resturant?, here restaurant-EZ item-EZ interest-2pl-be.3sg, injA resturAn-e mored-e alAqa-tun-e,اینجا رستورانِ مورد علاقه‌تونه؟,https://youtu.be/ReKdoQIYKOc?t=2120,/kourosh/36_59_10.wav,/kourosh/36_59_10.png,surprised,non-canonical,not-focused,alAqa-tun-e,rising,Echo
54,36_59_12,Are you afraid of cockroaches?, from cockroach IPFV-fear-2pl, az susk mi-tars-in,از سوسک می‌ترسین؟,https://youtu.be/ReKdoQIYKOc?t=2136,/kourosh/36_59_12.wav,/kourosh/36_59_12.png,not-surprised,canonical,not-focused,mi-tar-sin,rising,Confirmation
55,38_27_02,Do you want me to take you on my back?, IPFV-want-2pl SBJV-catch-1sg-2pl with myself SBJV-carry-1sg-2pl on back-1sg, mi-xAy-d be-gir-am-etun bA xod-am be-bar-am-etun ru posht-am,می‌خواید بگیرمتون با خودم ببرمتون رو پشتم؟,https://youtu.be/ReKdoQIYKOc?t=2195,/kourosh/38_27_02.wav,/kourosh/38_27_02.png,not-surprised,non-canonical,not-focused,mi-xAy-d,rising,Offer
56,38_27_06,May I catch you?, SBJV-catch-1sg-2pl, be-gir-am-etun,بگیرمتون؟,https://youtu.be/ReKdoQIYKOc?t=2204,/kourosh/38_27_06.wav,/kourosh/38_27_06.png,not-surprised,non-canonical,not-focused,be-gir-am-etun,rising,Offer
57,39_50_02,Do you want me to open the door [for you]?, IPFV-want-3sg door-OBJ for-2pl open do-1sg, mi-xAy-d dar-rA barA-tun bAz kon-am,می‌خواید در را براتون باز کنم؟,https://youtu.be/ReKdoQIYKOc?t=2271,/kourosh/39_50_02.wav,/kourosh/39_50_02.png,not-surprised,canonical,not-focused,mi-xAy-d,rising,Offer
58,39_50_08,Do you move your car?, car-2pl-OBJ move IPFV-do-2pl, mAshin-etun-o jAbejA mi-kon-in,ماشینتونو جابه‌جا می‌کنین؟,https://youtu.be/ReKdoQIYKOc?t=2305,/kourosh/39_50_08.wav,/kourosh/39_50_08.png,not-surprised,canonical,not-focused,jAbejA,rising,Request
59,43_45_04,Five cakes?, five cake, panj keyk,پنج کیک؟,https://youtu.be/ReKdoQIYKOc?t=2507,/kourosh/43_45_04.wav,/kourosh/43_45_04.png,surprised,canonical,focused,panj,rising,Confirmation
60,44_45_02,Aha Should we go to your home?, Aha should SBJV-go-1pl home-2pl, AhA bAyad be-r-im xuna-tun,آها باید بریم خونه‌تون؟,https://youtu.be/ReKdoQIYKOc?t=2571,/kourosh/44_45_02.wav,/kourosh/44_45_02.png,surprised,non-canonical,focused,xuna-tun,rising,Confirmation
61,44_45_08,Would you like to drive since it is your home and you know [the address]?, IPFV-want-2pl home-2pl-be.3sg PAUSE you yourself driving do-2sg that know-be.2pl, mi-xAy-d xuna-tun-e PAUSE shomA xodetun rAnandegi kon-id ke balad-in,می‌خواید خونه‌تونه ... شما خودتون رانندگی کنید که بلدید؟,https://youtu.be/ReKdoQIYKOc?t=2610,/kourosh/44_45_08.wav,/kourosh/44_45_08.png,not-surprised,canonical,not-focused,kon-id,level,Offer
